122.9702225 -74.27105713 -7.136429787  -122.9702225 74.27105713
123.1349106 -72.26842499 -6.811759472  -123.1349106 72.26842499
123.3869629 -69.30401611 -6.224713802  -123.3869629 69.30401611
123.6234894 -67.69520569 -6.086828709  -123.6234894 67.69520569
124.3491058 -61.20054626 -5.147766113  -124.3491058 61.20054626
124.9277649 -56.76422501 -4.969371796  -124.9277649 56.76422501
125.5972595 -52.83055115 -4.413047314  -125.5972595 52.83055115
125.7219009 -52.37667084 -4.305286884  -125.7219009 52.37667084
126.3568344 -49.4442215 -4.068256378  -126.3568344 49.4442215
126.50383 -48.96681213 -4.128183842  -126.50383 48.96681213
126.5040512 -48.96579361 -4.128181458  -126.5040512 48.96579361
126.558342 -48.71204758 -4.127594948  -126.558342 48.71204758
126.5699463 -48.64518738 -4.123765945  -126.5699463 48.64518738
126.7950134 -45.85347748 -3.61074996  -126.7950134 45.85347748
127.2405014 -35.50812531 -3.716830492  -127.2405014 35.50812531
128.1391296 -30.95850372 -3.381362677  -128.1391296 30.95850372
128.5144043 -28.44612122 -3.461670876  -128.5144043 28.44612122
128.6082306 -26.31158638 -3.589480162  -128.6082306 26.31158638
128.7657776 -25.13121986 -3.734351158  -128.7657776 25.13121986
129.2563171 -22.97929573 -4.141256332  -129.2563171 22.97929573
129.2994995 -22.79361343 -4.194562435  -129.2994995 22.79361343
129.3745422 -21.27091217 -4.941753864  -129.3745422 21.27091217
128.7787933 -18.93454361 -5.86149168  -128.7787933 18.93454361
128.7476196 -18.38057709 -6.044900894  -128.7476196 18.38057709
128.2631989 -12.12543011 -6.771382809  -128.2631989 12.12543011
127.9391479 -10.70425987 -7.14103651  -127.9391479 10.70425987
127.2775269 -1.866476536 -7.782376766  -127.2775269 1.866476536
126.8099823 1.571322203 -8.512298584  -126.8099823 -1.571322203
126.7944946 2.342087507 -8.800468445  -126.7944946 -2.342087507
126.9403763 3.886523247 -9.277866364  -126.9403763 -3.886523247
127.3348846 6.066103935 -10.29931927  -127.3348846 -6.066103935
127.3916397 6.869857788 -10.52614021  -127.3916397 -6.869857788
127.4602356 8.758490562 -11.37097836  -127.4602356 -8.758490562
127.4602127 8.758671761 -11.371068  -127.4602127 -8.758671761
127.4553299 8.803780556 -11.39330387  -127.4553299 -8.803780556
126.899971 11.37767029 -12.1529932  -126.899971 -11.37767029
125.2322922 16.27611732 -12.45423412  -125.2322922 -16.27611732
123.9944839 21.3621273 -12.39380455  -123.9944839 -21.3621273
123.7983932 21.99209404 -12.40674782  -123.7983932 -21.99209404
121.4768143 27.51106071 -12.48554611  -121.4768143 -27.51106071
120.5664673 29.56257439 -12.7238369  -120.5664673 -29.56257439
120.4270554 29.84780693 -12.73704147  -120.4270554 -29.84780693
119.4896164 31.0533905 -13.05801964  -119.4896164 -31.0533905
119.1606674 31.38257408 -13.13849354  -119.1606674 -31.38257408
118.9878922 31.5589962 -13.18952179  -118.9878922 -31.5589962
117.9056549 32.82434845 -13.57424641  -117.9056549 -32.82434845
117.6575928 33.08483887 -13.67902565  -117.6575928 -33.08483887
114.8782806 35.52832031 -14.9609766  -114.8782806 -35.52832031
113.4792862 37.05376816 -15.18634129  -113.4792862 -37.05376816
110.0674133 41.36418915 -15.04459  -110.0674133 -41.36418915
104.7498474 48.80749893 -13.8796072  -104.7498474 -48.80749893
104.5218201 49.13415146 -13.87374306  -104.5218201 -49.13415146
101.9347534 51.6507988 -13.74796009  -101.9347534 -51.6507988
99.98174286 53.11159897 -13.65562153  -99.98174286 -53.11159897
98.79682922 54.19738007 -13.64311504  -98.79682922 -54.19738007
93.57789612 57.23366165 -13.03962421  -93.57789612 -57.23366165
92.28894043 57.86369705 -12.93554783  -92.28894043 -57.86369705
90.10441589 59.05441666 -12.68997574  -90.10441589 -59.05441666
88.69445801 60.03627014 -12.47836971  -88.69445801 -60.03627014
85.42470551 62.08683014 -11.45053768  -85.42470551 -62.08683014
85.37721252 62.12364578 -11.43416882  -85.37721252 -62.12364578
84.19655609 62.96910095 -11.02292347  -84.19655609 -62.96910095
84.10962677 63.05010223 -10.99533749  -84.10962677 -63.05010223
77.50961304 67.2036972 -10.10246944  -77.50961304 -67.2036972
76.15537262 68.06554413 -9.666729927  -76.15537262 -68.06554413
75.54892731 68.40155029 -9.476958275  -75.54892731 -68.40155029
75.48054504 68.43537903 -9.454937935  -75.48054504 -68.43537903
73.18128967 69.35110474 -8.883016586  -73.18128967 -69.35110474
69.35079956 71.20484161 -7.341380119  -69.35079956 -71.20484161
68.64179993 71.46222687 -7.120480061  -68.64179993 -71.46222687
64.64125824 73.19259644 -4.937823296  -64.64125824 -73.19259644
63.14575958 73.80464935 -3.807214022  -63.14575958 -73.80464935
60.66199112 74.66461945 -2.28847909  -60.66199112 -74.66461945
59.88886261 74.90913391 -1.790141821  -59.88886261 -74.90913391
57.39977646 75.9684906 -0.023925308  -57.39977646 -75.9684906
57.0561142 76.07084656 0.256412208  -57.0561142 -76.07084656
54.90602112 76.82142639 1.790087938  -54.90602112 -76.82142639
54.46507263 76.91988373 2.182940006  -54.46507263 -76.91988373
51.89638901 77.87312317 4.455206871  -51.89638901 -77.87312317
51.88549805 77.876297 4.462726593  -51.88549805 -77.876297
50.32027817 78.21992493 5.708783627  -50.32027817 -78.21992493
49.23852539 78.32392883 6.765587807  -49.23852539 -78.32392883
48.55451202 78.39815521 7.383480072  -48.55451202 -78.39815521
48.48273087 78.41737366 7.453725338  -48.48273087 -78.41737366
46.78179932 78.6418457 9.038301468  -46.78179932 -78.6418457
44.62619019 78.68899536 10.92455387  -44.62619019 -78.68899536
42.79053497 79.01192474 12.78735065  -42.79053497 -79.01192474
40.87100983 78.95618439 14.96150398  -40.87100983 -78.95618439
39.70557022 78.91619873 16.75136948  -39.70557022 -78.91619873
38.32305527 78.95011902 18.43063164  -38.32305527 -78.95011902
37.70427322 78.95760345 19.04059029  -37.70427322 -78.95760345
35.55540466 79.18104553 21.69433403  -35.55540466 -79.18104553
35.26639175 79.24147797 22.11630821  -35.26639175 -79.24147797
33.63059998 79.34527588 23.9900322  -33.63059998 -79.34527588
32.13564301 79.4475174 25.46519852  -32.13564301 -79.4475174
30.74639702 79.49919891 27.12607574  -30.74639702 -79.49919891
28.45294952 79.47255707 30.46748352  -28.45294952 -79.47255707
27.80039978 79.44953156 31.25293159  -27.80039978 -79.44953156
24.24907112 79.45061493 36.72507095  -24.24907112 -79.45061493
22.89672661 79.45426178 38.47535706  -22.89672661 -79.45426178
22.5314579 79.41845703 39.03968048  -22.5314579 -79.41845703
20.84989738 79.33366394 41.83078384  -20.84989738 -79.33366394
20.35818291 79.4080658 42.95128632  -20.35818291 -79.4080658
19.9140892 79.33581543 44.20840454  -19.9140892 -79.33581543
19.84339333 79.32111359 44.42715454  -19.84339333 -79.32111359
19.24270248 79.11287689 46.52674484  -19.24270248 -79.11287689
19.16784096 79.04904938 46.82768631  -19.16784096 -79.04904938
19.14989662 79.03835297 46.89661407  -19.14989662 -79.03835297
18.38528252 78.84452057 48.57142639  -18.38528252 -78.84452057
